SMILES,C_count,N_count,O_count,F_count,P_count,ALERTS,CSP3,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_halide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ether,fr_guanido,fr_halogen,fr_imidazole,fr_methoxy,fr_morpholine,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_para_hydroxylation,fr_piperdine,fr_piperzine,fr_pyridine,fr_quatN,fr_unbrch_alkane,Concentration,Temperature,Solvent(MeOD),Solvent(D2O),Time(h),Degradation(%),Pbf_mean,NPR1_mean,NPR2_mean,is_halflife_proxy
CCCC[N+]1(C)CCCC1,9,1,0,0,0,1,1.0,1.355,2.405416667,1.355,0.528866095,142.266,122.106,142.1590261,60,0.078627625,-0.326037383,0.326037383,0.078627625,1.2,1.8,2.3,15.33615721,10.27647584,2.246735375,-2.282945,2.162358186,-2.408798699,4.508065721,-0.897402108,2.21874475,92.90138861,7.449747468,7.396961064,7.396961064,4.767766953,4.603003675,4.603003675,3.850984256,3.850984256,2.697398731,2.697398731,1.86229292,1.86229292,-0.04,244.7397616,8.060401606,3.380057918,1.978612327,64.62276195,4.483030858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.34455882,6.420821623,12.84164325,26.6819412,4.483030858,0.0,0.0,0.0,32.60702369,26.6819412,0.0,0.0,0.0,0.0,0.0,0.0,31.16497206,0.0,0.0,32.60702369,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,49.80058657,0.0,0.0,13.97140918,0.0,1.355,0.0,0.0,0.0,0.0,0.0,5.685286281,6.554297052,2.405416667,1.0,10,0,1,0,1,1,0,0,0,0,0,1,3,0,1,1,1,2.0269,44.9274,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.514444366,30,0.0,1.0,168.0,0.0,0.8516828327999999,0.25643609180000004,0.9346285656,0
CCCC[N+]1(C)CCCC1,9,1,0,0,0,1,1.0,1.355,2.405416667,1.355,0.528866095,142.266,122.106,142.1590261,60,0.078627625,-0.326037383,0.326037383,0.078627625,1.2,1.8,2.3,15.33615721,10.27647584,2.246735375,-2.282945,2.162358186,-2.408798699,4.508065721,-0.897402108,2.21874475,92.90138861,7.449747468,7.396961064,7.396961064,4.767766953,4.603003675,4.603003675,3.850984256,3.850984256,2.697398731,2.697398731,1.86229292,1.86229292,-0.04,244.7397616,8.060401606,3.380057918,1.978612327,64.62276195,4.483030858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.34455882,6.420821623,12.84164325,26.6819412,4.483030858,0.0,0.0,0.0,32.60702369,26.6819412,0.0,0.0,0.0,0.0,0.0,0.0,31.16497206,0.0,0.0,32.60702369,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,49.80058657,0.0,0.0,13.97140918,0.0,1.355,0.0,0.0,0.0,0.0,0.0,5.685286281,6.554297052,2.405416667,1.0,10,0,1,0,1,1,0,0,0,0,0,1,3,0,1,1,1,2.0269,44.9274,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.786110916,30,0.0,1.0,168.0,0.0,0.8516828327999999,0.25643609180000004,0.9346285656,0
C[N+](C)(C)C,4,1,0,0,0,1,1.0,1.0,2.125,1.0,0.362983639,74.147,62.051,74.0964258,32,0.06746072,-0.333351019,0.333351019,0.06746072,0.8,0.8,0.8,15.24500492,10.77599508,1.87872051,-2.141610809,1.731158935,-2.271258935,3.865530024,-0.849130024,3.023715784,19.11941548,4.5,4.447213595,4.447213595,2.0,1.788854382,1.788854382,2.683281573,2.683281573,0.0,0.0,0.0,0.0,-0.04,3.609640474,4.96,0.976756002,9507.96,33.80388253,4.483030858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28.19068793,4.483030858,0.0,0.0,0.0,0.0,28.19068793,0.0,0.0,0.0,0.0,0.0,0.0,32.67371879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.483030858,0.0,0.0,0.0,28.19068793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1.0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3224,23.9564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.674308833,30,0.0,1.0,168.0,0.0,0.9428536206,0.9999993602,0.9999997453,0
C[N+](C)(C)C,4,1,0,0,0,1,1.0,1.0,2.125,1.0,0.362983639,74.147,62.051,74.0964258,32,0.06746072,-0.333351019,0.333351019,0.06746072,0.8,0.8,0.8,15.24500492,10.77599508,1.87872051,-2.141610809,1.731158935,-2.271258935,3.865530024,-0.849130024,3.023715784,19.11941548,4.5,4.447213595,4.447213595,2.0,1.788854382,1.788854382,2.683281573,2.683281573,0.0,0.0,0.0,0.0,-0.04,3.609640474,4.96,0.976756002,9507.96,33.80388253,4.483030858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28.19068793,4.483030858,0.0,0.0,0.0,0.0,28.19068793,0.0,0.0,0.0,0.0,0.0,0.0,32.67371879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.483030858,0.0,0.0,0.0,28.19068793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1.0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3224,23.9564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.743088334,30,0.0,1.0,168.0,0.0,0.9428536206,0.9999993602,0.9999997453,0
C[N+](C)(C)C,4,1,0,0,0,1,1.0,1.0,2.125,1.0,0.362983639,74.147,62.051,74.0964258,32,0.06746072,-0.333351019,0.333351019,0.06746072,0.8,0.8,0.8,15.24500492,10.77599508,1.87872051,-2.141610809,1.731158935,-2.271258935,3.865530024,-0.849130024,3.023715784,19.11941548,4.5,4.447213595,4.447213595,2.0,1.788854382,1.788854382,2.683281573,2.683281573,0.0,0.0,0.0,0.0,-0.04,3.609640474,4.96,0.976756002,9507.96,33.80388253,4.483030858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28.19068793,4.483030858,0.0,0.0,0.0,0.0,28.19068793,0.0,0.0,0.0,0.0,0.0,0.0,32.67371879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.483030858,0.0,0.0,0.0,28.19068793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1.0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3224,23.9564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.85772084,30,0.0,1.0,168.0,0.0,0.9428536206,0.9999993602,0.9999997453,0
C[N+](C)(C)Cc1ccccc1,10,1,0,0,0,1,0.4,0.990092593,2.201388889,0.990092593,0.564733409,150.245,134.117,150.1277259,60,0.10374051,-0.327164983,0.327164983,0.10374051,1.0,1.545454545,2.0,15.2727943,10.18617015,2.059732163,-2.231752379,2.044948953,-2.326798315,5.127404025,-0.883503644,2.657660985,208.0644284,8.319990956,7.541071723,7.541071723,5.078298262,3.922105546,3.922105546,3.934036527,3.934036527,1.499740497,1.499740497,1.131142384,1.131142384,-0.82,244.8579632,8.278231827,3.054898793,3.190046349,68.86097673,4.483030858,6.544756406,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30.33183534,0.0,5.563451492,21.14301595,4.483030858,0.0,0.0,0.0,6.544756406,21.14301595,35.89528683,0.0,0.0,0.0,0.0,0.0,25.62604681,6.544756406,0.0,5.563451492,30.33183534,0.0,0.0,0.0,0.0,0,0.0,0.0,11.02778726,5.563451492,0.0,0.0,51.47485129,0.0,0.990092593,0.0,0.0,1.402777778,0.0,10.57157407,0.0,1.098055556,6.604166667,0.4,11,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,1,1.8928,48.1784,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.332800852,30,0.0,1.0,168.0,0.0,0.7445308335,0.24762724886,0.9092085232799999,0
C[N+](C)(C)Cc1ccccc1,10,1,0,0,0,1,0.4,0.990092593,2.201388889,0.990092593,0.564733409,150.245,134.117,150.1277259,60,0.10374051,-0.327164983,0.327164983,0.10374051,1.0,1.545454545,2.0,15.2727943,10.18617015,2.059732163,-2.231752379,2.044948953,-2.326798315,5.127404025,-0.883503644,2.657660985,208.0644284,8.319990956,7.541071723,7.541071723,5.078298262,3.922105546,3.922105546,3.934036527,3.934036527,1.499740497,1.499740497,1.131142384,1.131142384,-0.82,244.8579632,8.278231827,3.054898793,3.190046349,68.86097673,4.483030858,6.544756406,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30.33183534,0.0,5.563451492,21.14301595,4.483030858,0.0,0.0,0.0,6.544756406,21.14301595,35.89528683,0.0,0.0,0.0,0.0,0.0,25.62604681,6.544756406,0.0,5.563451492,30.33183534,0.0,0.0,0.0,0.0,0,0.0,0.0,11.02778726,5.563451492,0.0,0.0,51.47485129,0.0,0.990092593,0.0,0.0,1.402777778,0.0,10.57157407,0.0,1.098055556,6.604166667,0.4,11,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,1,1.8928,48.1784,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.32800852,30,0.0,1.0,168.0,0.0,0.7445308335,0.24762724886,0.9092085232799999,0
C[N+](C)(C)Cc1ccccc1,10,1,0,0,0,1,0.4,0.990092593,2.201388889,0.990092593,0.564733409,150.245,134.117,150.1277259,60,0.10374051,-0.327164983,0.327164983,0.10374051,1.0,1.545454545,2.0,15.2727943,10.18617015,2.059732163,-2.231752379,2.044948953,-2.326798315,5.127404025,-0.883503644,2.657660985,208.0644284,8.319990956,7.541071723,7.541071723,5.078298262,3.922105546,3.922105546,3.934036527,3.934036527,1.499740497,1.499740497,1.131142384,1.131142384,-0.82,244.8579632,8.278231827,3.054898793,3.190046349,68.86097673,4.483030858,6.544756406,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30.33183534,0.0,5.563451492,21.14301595,4.483030858,0.0,0.0,0.0,6.544756406,21.14301595,35.89528683,0.0,0.0,0.0,0.0,0.0,25.62604681,6.544756406,0.0,5.563451492,30.33183534,0.0,0.0,0.0,0.0,0,0.0,0.0,11.02778726,5.563451492,0.0,0.0,51.47485129,0.0,0.990092593,0.0,0.0,1.402777778,0.0,10.57157407,0.0,1.098055556,6.604166667,0.4,11,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,1,1.8928,48.1784,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.320021299,30,0.0,1.0,168.0,0.0,0.7445308335,0.24762724886,0.9092085232799999,0
C[P+](C)(C)C,4,0,0,0,1,1,1.0,-0.388888889,2.298611111,0.388888889,0.396386378,91.114,79.018,91.06711343,32,0.048073426,0.002215896,0.048073426,0.002215896,0.8,0.8,0.8,31.1826738,11.8053262,2.026793847,-1.973504524,2.399601488,-1.738901488,7.724992206,1.951007794,3.023715784,19.11941548,4.5,4.447213595,5.341640786,2.0,1.788854382,5.366563146,2.683281573,8.049844719,0.0,0.0,0.0,0.0,0.43,3.609640474,5.43,1.260578862,141.4748891,34.91865783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,33.92178161,0.0,0.0,7.262479191,0.0,0.0,0.0,26.65930242,0.0,0.0,0.0,0.0,0.0,7.262479191,26.65930242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.262479191,0.0,0.0,0.0,0.0,0.0,26.65930242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.194444444,-0.388888889,1.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5232,30.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54878718,30,0.0,1.0,168.0,0.0,1.0695340992,0.9999992442,0.9999994868,0
C[P+](C)(C)C,4,0,0,0,1,1,1.0,-0.388888889,2.298611111,0.388888889,0.396386378,91.114,79.018,91.06711343,32,0.048073426,0.002215896,0.048073426,0.002215896,0.8,0.8,0.8,31.1826738,11.8053262,2.026793847,-1.973504524,2.399601488,-1.738901488,7.724992206,1.951007794,3.023715784,19.11941548,4.5,4.447213595,5.341640786,2.0,1.788854382,5.366563146,2.683281573,8.049844719,0.0,0.0,0.0,0.0,0.43,3.609640474,5.43,1.260578862,141.4748891,34.91865783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,33.92178161,0.0,0.0,7.262479191,0.0,0.0,0.0,26.65930242,0.0,0.0,0.0,0.0,0.0,7.262479191,26.65930242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.262479191,0.0,0.0,0.0,0.0,0.0,26.65930242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.194444444,-0.388888889,1.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5232,30.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.487871803,30,0.0,1.0,168.0,0.0,1.0695340992,0.9999992442,0.9999994868,0
C[P+](C)(C)C,4,0,0,0,1,1,1.0,-0.388888889,2.298611111,0.388888889,0.396386378,91.114,79.018,91.06711343,32,0.048073426,0.002215896,0.048073426,0.002215896,0.8,0.8,0.8,31.1826738,11.8053262,2.026793847,-1.973504524,2.399601488,-1.738901488,7.724992206,1.951007794,3.023715784,19.11941548,4.5,4.447213595,5.341640786,2.0,1.788854382,5.366563146,2.683281573,8.049844719,0.0,0.0,0.0,0.0,0.43,3.609640474,5.43,1.260578862,141.4748891,34.91865783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,33.92178161,0.0,0.0,7.262479191,0.0,0.0,0.0,26.65930242,0.0,0.0,0.0,0.0,0.0,7.262479191,26.65930242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.262479191,0.0,0.0,0.0,0.0,0.0,26.65930242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.194444444,-0.388888889,1.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5232,30.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.71967951,30,0.0,1.0,168.0,0.0,1.0695340992,0.9999992442,0.9999994868,0
CCCCN1C=C[N+](C)=C1,8,2,0,0,0,1,0.625,1.150138889,2.211805556,1.150138889,0.554691275,139.222,124.102,139.1229749,56,0.243028824,-0.239533996,0.243028824,0.239533996,1.5,2.3,2.8,15.08785619,10.33121447,1.959499127,-1.900551834,1.911832752,-2.23262156,4.645719645,-0.670569316,2.422977778,190.8925906,7.397341225,6.747798342,6.747798342,4.825698503,3.836677035,3.836677035,2.670461187,2.670461187,1.593598922,1.593598922,0.97467268,0.97467268,-0.79,256.7231081,7.318577633,3.396271974,1.865035648,62.10486507,0.0,12.39368714,0.0,6.327320075,0.0,0.0,0.0,9.134199296,0,0.0,13.34455882,6.420821623,0.0,13.59242839,4.567099648,0.0,4.567099648,7.047671983,26.31013685,0.0,18.72100722,0.0,4.567099648,0.0,0.0,0.0,4.567099648,13.59242839,0.0,19.76538045,18.72100722,0.0,8.81,0.0,0.0,0,0.0,0.0,6.544756406,12.84164325,0.0,7.047671983,34.77894371,0.0,4.276944444,0.0,0.0,0.0,0.0,0.0,8.817018141,3.361944444,2.044092971,0.625,10,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.1127,40.516,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.359143801,80,0.0,1.0,168.0,0.4,0.6461999236,0.22220910379999997,0.8759738324,0
CCCCN1C=C[N+](C)=C1,8,2,0,0,0,1,0.625,1.150138889,2.211805556,1.150138889,0.554691275,139.222,124.102,139.1229749,56,0.243028824,-0.239533996,0.243028824,0.239533996,1.5,2.3,2.8,15.08785619,10.33121447,1.959499127,-1.900551834,1.911832752,-2.23262156,4.645719645,-0.670569316,2.422977778,190.8925906,7.397341225,6.747798342,6.747798342,4.825698503,3.836677035,3.836677035,2.670461187,2.670461187,1.593598922,1.593598922,0.97467268,0.97467268,-0.79,256.7231081,7.318577633,3.396271974,1.865035648,62.10486507,0.0,12.39368714,0.0,6.327320075,0.0,0.0,0.0,9.134199296,0,0.0,13.34455882,6.420821623,0.0,13.59242839,4.567099648,0.0,4.567099648,7.047671983,26.31013685,0.0,18.72100722,0.0,4.567099648,0.0,0.0,0.0,4.567099648,13.59242839,0.0,19.76538045,18.72100722,0.0,8.81,0.0,0.0,0,0.0,0.0,6.544756406,12.84164325,0.0,7.047671983,34.77894371,0.0,4.276944444,0.0,0.0,0.0,0.0,0.0,8.817018141,3.361944444,2.044092971,0.625,10,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.1127,40.516,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.591438012,80,0.0,1.0,168.0,98.7,0.6461999236,0.22220910379999997,0.8759738324,0
CCCCN1C=C[N+](C)=C1C,9,2,0,0,0,1,0.666666667,1.155925926,2.295138889,1.155925926,0.580700677,153.249,136.113,153.138625,62,0.252505903,-0.2371895,0.252505903,0.2371895,1.545454545,2.272727273,2.727272727,15.12354519,10.32320438,2.057409928,-1.953035348,1.96454421,-2.29191671,4.781790929,-0.676901048,2.630825004,225.4666468,8.267584714,7.670448073,7.670448073,5.253218858,4.267492851,4.267492851,3.003208827,3.003208827,2.148888739,2.148888739,1.163612434,1.163612434,-0.79,382.8385388,8.307943193,3.557462323,1.822066108,68.46980718,0.0,12.39368714,0.0,0.0,5.824404498,0.0,0.0,9.134199296,0,0.0,13.34455882,6.420821623,6.9237372,13.59242839,4.567099648,0.0,4.567099648,7.047671983,33.23387405,0.0,18.21809164,0.0,4.567099648,0.0,0.0,0.0,4.567099648,13.59242839,6.9237372,25.58978494,12.39368714,0.0,8.81,0.0,0.0,0,0.0,0.0,6.544756406,18.66604774,0.0,0.0,42.42303282,0.0,4.443611111,0.0,0.0,0.0,1.331898148,0.0,6.784564437,5.525462963,2.081130008,0.666666667,11,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.42112,45.253,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.326264274,80,0.0,1.0,168.0,0.8,0.7576380210769231,0.26757356684615385,0.9083497503846154,0
CCCCN1C=C[N+](C)=C1C,9,2,0,0,0,1,0.666666667,1.155925926,2.295138889,1.155925926,0.580700677,153.249,136.113,153.138625,62,0.252505903,-0.2371895,0.252505903,0.2371895,1.545454545,2.272727273,2.727272727,15.12354519,10.32320438,2.057409928,-1.953035348,1.96454421,-2.29191671,4.781790929,-0.676901048,2.630825004,225.4666468,8.267584714,7.670448073,7.670448073,5.253218858,4.267492851,4.267492851,3.003208827,3.003208827,2.148888739,2.148888739,1.163612434,1.163612434,-0.79,382.8385388,8.307943193,3.557462323,1.822066108,68.46980718,0.0,12.39368714,0.0,0.0,5.824404498,0.0,0.0,9.134199296,0,0.0,13.34455882,6.420821623,6.9237372,13.59242839,4.567099648,0.0,4.567099648,7.047671983,33.23387405,0.0,18.21809164,0.0,4.567099648,0.0,0.0,0.0,4.567099648,13.59242839,6.9237372,25.58978494,12.39368714,0.0,8.81,0.0,0.0,0,0.0,0.0,6.544756406,18.66604774,0.0,0.0,42.42303282,0.0,4.443611111,0.0,0.0,0.0,1.331898148,0.0,6.784564437,5.525462963,2.081130008,0.666666667,11,0,2,0,0,0,0,1,1,1,0,2,3,0,0,0,1,1.42112,45.253,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.262642741,80,0.0,1.0,168.0,7.5,0.7576380210769231,0.26757356684615385,0.9083497503846154,0
CN(C)[C+](N(C)C)N(C)C,7,3,0,0,0,1,0.857142857,1.194444444,2.083333333,1.194444444,0.520838571,144.242,126.098,144.149524,60,0.349589713,-0.111678365,0.349589713,0.111678365,0.6,0.8,0.8,15.46202249,10.56237982,2.30860206,-2.190147083,2.074492777,-2.418841822,4.783551825,0.120412298,3.983500213,69.832459,8.309401077,7.841640786,7.841640786,4.464101615,3.354101966,3.354101966,2.983281573,2.983281573,1.2,1.2,1.2,1.2,-0.25,85.75693819,9.75,3.806586691,2.557605251,64.20840472,0.0,0.0,0.0,0.0,0.0,6.289710395,0.0,0.0,0,14.69972919,0.0,0.0,42.2860319,0.0,0.0,0.0,14.69972919,0.0,0.0,42.2860319,6.289710395,0.0,0.0,0.0,0.0,0.0,56.98576109,0.0,6.289710395,0.0,0.0,0.0,9.72,0.0,0.0,0,0.0,0.0,0.0,6.289710395,0.0,42.2860319,14.69972919,0.0,0.0,6.25,0.0,0.0,0.0,0.0,1.194444444,0.0,12.22222222,0.857142857,10,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0.11819,44.304,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346644481,80,0.0,1.0,168.0,60.9,1.178773629,0.7263599648,0.7810740544,0
CN(C)[C+](N(C)C)N(C)C,7,3,0,0,0,1,0.857142857,1.194444444,2.083333333,1.194444444,0.520838571,144.242,126.098,144.149524,60,0.349589713,-0.111678365,0.349589713,0.111678365,0.6,0.8,0.8,15.46202249,10.56237982,2.30860206,-2.190147083,2.074492777,-2.418841822,4.783551825,0.120412298,3.983500213,69.832459,8.309401077,7.841640786,7.841640786,4.464101615,3.354101966,3.354101966,2.983281573,2.983281573,1.2,1.2,1.2,1.2,-0.25,85.75693819,9.75,3.806586691,2.557605251,64.20840472,0.0,0.0,0.0,0.0,0.0,6.289710395,0.0,0.0,0,14.69972919,0.0,0.0,42.2860319,0.0,0.0,0.0,14.69972919,0.0,0.0,42.2860319,6.289710395,0.0,0.0,0.0,0.0,0.0,56.98576109,0.0,6.289710395,0.0,0.0,0.0,9.72,0.0,0.0,0,0.0,0.0,0.0,6.289710395,0.0,42.2860319,14.69972919,0.0,0.0,6.25,0.0,0.0,0.0,0.0,1.194444444,0.0,12.22222222,0.857142857,10,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0.11819,44.304,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.466444814,80,0.0,1.0,168.0,100.0,1.178773629,0.7263599648,0.7810740544,0
CCCC[N+]1(C)CCCC1,9,1,0,0,0,1,1.0,1.355,2.405416667,1.355,0.528866095,142.266,122.106,142.1590261,60,0.078627625,-0.326037383,0.326037383,0.078627625,1.2,1.8,2.3,15.33615721,10.27647584,2.246735375,-2.282945,2.162358186,-2.408798699,4.508065721,-0.897402108,2.21874475,92.90138861,7.449747468,7.396961064,7.396961064,4.767766953,4.603003675,4.603003675,3.850984256,3.850984256,2.697398731,2.697398731,1.86229292,1.86229292,-0.04,244.7397616,8.060401606,3.380057918,1.978612327,64.62276195,4.483030858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.34455882,6.420821623,12.84164325,26.6819412,4.483030858,0.0,0.0,0.0,32.60702369,26.6819412,0.0,0.0,0.0,0.0,0.0,0.0,31.16497206,0.0,0.0,32.60702369,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,49.80058657,0.0,0.0,13.97140918,0.0,1.355,0.0,0.0,0.0,0.0,0.0,5.685286281,6.554297052,2.405416667,1.0,10,0,1,0,1,1,0,0,0,0,0,1,3,0,1,1,1,2.0269,44.9274,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.351444437,80,0.0,1.0,168.0,0.0,0.8516828327999999,0.25643609180000004,0.9346285656,0
